Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
88,The Goddess,1934,7.583,0.611,,,,,,Yonggang Wu,TV-PG,TV-PG,N/A,85 min,85,Drama,Drama,Unknown,7.6,7.6,2559,0.0,0.0,1.0,1 win,Yonggang Wu,"Lingyu Ruan, Tian Jian, Zhizhi Zhang","An unnamed devoted mother sells herself by night on the streets of Shanghai in order to support herself and her infant son. When a gambler who calls himself ""the Boss"" strong-arms his way into becoming her pimp, she flees with her son and attempts to earn an honest living, but the Boss tracks her down and forces her back into prostitution. When her son reaches school age, she begins hiding away enough money to pay his tuition. Although her son is ostracized by other kids due to her profession, she takes great joy in providing an education and a potential better future for him. When the other parents want the boy expelled, a kindly principal fights to keep him in school. Meanwhile, the Boss finds her hidden cash, adding financial woes to the problems of social injustice.","None, Mandarin",China,tt0195256,movie,N/A,N/A,N/A,"uplifting, emotional",fast,intimate,"family, justice",female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,The Great Devotion,1960,7.628,0.601,,,,,,Yuen Chor,N/A,N/A,04 Aug 1960,98 min,98,Drama,Drama,Unknown,7.0,7.0,45,0.0,0.0,0.0,N/A,Yuen Chor,"Yin Pak, Wood-Yau Cheung, Lap Ban Chan",N/A,Cantonese,Hong Kong,tt0053878,movie,N/A,N/A,N/A,emotional,medium,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,The House of 72 Tenants,1973,7.136,0.537,,,,,,Yuen Chor,N/A,N/A,22 Sep 1973,98 min,98,Comedy,Comedy,Unknown,6.5,6.5,173,0.0,0.0,0.0,N/A,Yuen Chor,"Shen Chan, Mei Hua Chen, Adam Cheng","A group of people are crowded together in a crappy tenement slum. The place is ruled with an iron fist by its strict landlady, who along with her sleazy husband, tries to exploit their tenants in whatever way they see fit.","Cantonese, Mandarin",Hong Kong,tt0070196,movie,N/A,N/A,N/A,funny,fast,conventional,general,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,The Killer,1989,8.158,0.642,,,,,,John Woo,R,R,01 Sep 1990,111 min,111,"Action, Crime, Drama",Action,Crime,7.7,7.7,53376,82.0,0.0,2.0,2 wins & 6 nominations total,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh","A Hong Kong hitman accidentally blinds an innocent woman during a hit. He is determined to get her surgery to help her regain her sight but he needs to complete one more hit first. He completes the job but then is ambushed as he tries to escape: someone wants him dead. Meanwhile a resourceful, unorthodox police detective is hot on his trail.","Cantonese, Mandarin, Japanese, English",Hong Kong,tt0097202,movie,N/A,N/A,N/A,"dark, exciting, emotional",fast,intimate,general,ensemble,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
92,The Kingdom and the Beauty,1959,7.742,0.601,,,,,,Han Hsiang Li,N/A,N/A,29 Jun 1959,100 min,100,"Drama, Family, Musical",Drama,Family,6.7,6.7,176,0.0,0.0,1.0,1 win total,Yue-Ting Wang,"Dai Lin, Lei Zhao, King Hu","Set in the Ming Dynasty, the story follows a bored Emperor who decides to take a little vacation from his regal duties. His destination is Kiang Nan, a village that lays claim to the most beautiful women in all of the Middle Kingdom. Upon hearing that one of his imperial guards will be visiting his home village, the Emperor decides to tag along, much to the consternation of his royal advisers. Once there, the Emperor happens upon a parade in celebration of the spring season and glimpses a beauty (Linda Lin Dai). They smile at each other, and an obvious attraction is sparked between the two. Upon meeting her again in the forest and playing a game with her friends, the Emperor then tracks the beauty to a local wine shop. He learns that her name is Li Feng, an innocent waitress working for her very stern brother.",Mandarin,"Hong Kong, Singapore",tt0194984,movie,N/A,N/A,N/A,emotional,medium,intimate,friendship,male,linear,neutral,growth,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,The Life of Wu Xun,1951,7.699,0.601,,,,,,Yu Sun,N/A,N/A,21 Feb 1951,208 min,208,Drama,Drama,Unknown,6.8,6.8,67,0.0,0.0,0.0,N/A,Yu Sun,"Dan Zhao, Zongying Huang, Boxun Zhou","The life-story of Wu Xun, a beggar in the Qing dynasty who set up free schools for poor children.",Mandarin,China,tt0457630,movie,N/A,N/A,N/A,emotional,epic,intimate,family,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,The Lin Family Shop,1959,7.714,0.608,,,,,,Choui Khoua,Not Rated,Not Rated,06 Oct 1959,85 min,85,Drama,Drama,Unknown,7.1,7.1,165,0.0,0.0,0.0,N/A,"Dun Mao, Yan Xia","Tian Xie, Bin Lin, Wei Ma",A textile store in Zhejiang province encounters a series of trouble when the Japanese invade China and the war breaks out.,Mandarin,China,tt0470423,movie,N/A,N/A,N/A,emotional,fast,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,The Love Eterne,1963,7.568,0.57,,,,,,Han Hsiang Li,N/A,N/A,03 Apr 1963,126 min,126,"Fantasy, Musical, Romance",Fantasy,Musical,7.1,7.1,537,0.0,0.0,1.0,6 wins total,Han Hsiang Li,"Betty Loh Ti, Ivy Ling Po, Li-Chu Chang",The story about the life of the students at a university in Hangchow. Chu Ying-Tai is a female who has to be disguised as a man in order to gain entry into the school.,Mandarin,Hong Kong,tt0057248,movie,N/A,N/A,N/A,emotional,slow,"intimate, surreal",general,ensemble,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,The Mission,1999,7.314,0.566,,,,,,Johnnie To,Not Rated,Not Rated,19 Nov 1999,84 min,84,"Action, Crime",Action,Crime,7.5,7.5,6381,0.0,0.0,2.0,10 wins & 8 nominations total,Nai-Hoi Yau,"Anthony Chau-Sang Wong, Francis Ng, Jackie Chung-yin Lui","Triad boss Lung, who has just escaped being killed in an assassination attempt hires the killers Curtis, James, Mike, Roy and Shin for his protection. Their grown solidarity is under compulsion when Lung orders Curtis to kill Shin in punishment for his affair with Mrs. Lung.",Cantonese,Hong Kong,tt0220644,movie,N/A,N/A,N/A,"dark, exciting",fast,conventional,general,male,linear,neutral,growth,original,low,practical_effects,low,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
97,The Orphan,1960,8.126,0.636,,,,,,Sun-Fung Lee,N/A,N/A,03 Mar 1960,104 min,104,"Drama, Family",Drama,Family,7.5,7.5,109,0.0,0.0,0.0,N/A,Cho-Fan Ng,"Cho-Fan Ng, Yin Pak, Bruce Lee","When a young street thug becomes friends with the headmaster of a school, he gives up the triad life to enroll in the school.",Cantonese,Hong Kong,tt0193458,movie,N/A,N/A,N/A,emotional,medium,intimate,friendship,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
