Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
23,Hamlet,1964,8.158,0.652,8.2,140,Grigoriy Kozintsev,33.799,0.831,0.227,False,True,True,0,0,0,0
24,Heart of a Dog,1988,8.136,0.657,8.5,136,Vladimir Bortko,29.799,1.131,0.204,True,False,True,0,0,0,0
25,Inadequate People,2010,8.022,0.627,7.3,102,Roman Karimov,-4.201,-0.069,0.09,True,True,True,0,0,0,0
26,Interny,2010,5.61,0.33,0.0,0,,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
27,Ivan Vasilyevich Changes His Profession,1973,8.107,0.619,8.2,88,Leonid Gaidai,-18.201,0.831,0.175,True,True,True,0,0,0,0
28,"Ivan the Terrible, Part II: The Boyars' Plot",1946,8.133,0.667,7.8,88,Sergei Eisenstein,-18.201,0.431,0.202,True,True,True,0,0,0,0
29,Ivan's Childhood,1962,8.165,0.648,8.0,95,"Andrei Tarkovsky, Eduard Abalov",-11.201,0.631,0.233,True,True,True,0,0,0,0
30,"Kidnapping, Caucasian Style",1967,8.211,0.657,8.3,82,Leonid Gaidai,-24.201,0.931,0.279,True,True,True,0,0,0,0
31,Kin-dza-dza!,1986,8.125,0.644,7.9,135,Georgiy Daneliya,28.799,0.531,0.194,True,True,True,0,0,0,0
32,Law of the Lawless,2002,5.34,0.317,0.0,0,,-106.201,-7.369,-2.591,False,False,False,0,0,0,0
33,Letter Never Sent,1960,8.193,0.646,7.8,96,Mikhail Kalatozov,-10.201,0.431,0.262,True,True,True,0,0,0,0
34,Love and Doves,1985,8.116,0.644,7.9,107,Vladimir Menshov,0.799,0.531,0.185,True,True,True,0,0,0,0
35,Man with a Movie Camera,1929,7.755,0.604,8.3,68,Dziga Vertov,-38.201,0.931,-0.177,False,True,True,0,0,0,0
36,Mimino,1977,8.163,0.65,8.1,95,Georgiy Daneliya,-11.201,0.731,0.231,True,True,True,0,0,0,0
