Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
679,Proxy War,1973,5.33,0.316,0.0,0,Kinji Fukasaku,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
680,Psychokinesis,2018,6.18,0.359,0.0,0,Yeon Sang-ho,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
681,Purple Noon,1960,5.31,0.315,0.0,0,René Clément,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
682,Queen,2013,6.03,0.352,0.0,0,Vikas Bahl,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
683,REC,2007,5.28,0.314,0.0,0,"Jaume Balagueró, Paco Plaza",-106.201,-7.369,-2.651,False,False,False,0,0,0,0
684,Raazi,2018,6.18,0.359,0.0,0,Meghna Gulzar,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
685,Rabbit Without Ears,2007,5.28,0.314,0.0,0,Til Schweiger,-106.201,-7.369,-2.651,False,False,False,0,0,0,0
686,Raining in the Mountain,1979,5.32,0.316,0.0,0,King Hu,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
687,Rammbock: Berlin Undead,2010,5.61,0.33,0.0,0,Marvin Kren,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
688,Rampant,2018,6.18,0.359,0.0,0,Kim Sung-hoon,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
689,Ran,1985,5.32,0.316,0.0,0,Akira Kurosawa,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
690,Rang De Basanti,2006,5.26,0.313,0.0,0,Rakeysh Omprakash Mehra,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
691,Rebels of the Neon God,1992,5.33,0.316,0.0,0,Tsai Ming-liang,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
692,Recollections of the Yellow House,1989,5.32,0.316,0.0,0,João César Monteiro,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
693,Red Nail Polish,2016,5.99,0.35,0.0,0,Seyed Jamal Seyed Hatami,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
694,Red Sorghum,1988,5.32,0.316,0.0,0,Yimou Zhang,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
695,Redhat and Cousin,1995,5.33,0.316,0.0,0,Iraj Tahmasb,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
696,Rendez-vous in Paris,1995,5.33,0.316,0.0,0,Éric Rohmer,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
697,Repentance,1984,5.32,0.316,0.0,0,Tengiz Abuladze,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
698,Requiem,2006,5.26,0.313,0.0,0,Hans-Christian Schmid,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
699,Return of the Prodigal Son,1978,7.9,0.617,7.1,120,"Youssef Chahine, Farouk Beloufa",13.799,-0.269,-0.032,True,True,True,0,0,0,0
700,Revanche,2008,5.31,0.315,0.0,0,Götz Spielmann,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
701,Revenger,2018,6.18,0.359,0.0,0,Lee Seung-won,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
702,"Reza, the Motorcyclist",1970,5.33,0.316,0.0,0,Masud Kimiai,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
703,Rih al awras,1966,7.532,0.583,6.3,95,Mohammed Lakhdar-Hamina,-11.201,-1.069,-0.4,True,False,False,0,0,0,0
704,Ring,1998,5.38,0.319,0.0,0,Hideo Nakata,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
705,Risk of Acid Rain,2015,6.01,0.35,0.0,0,Behtash Sanaeeha,-106.201,-7.369,-1.921,False,False,False,0,0,0,0
706,Rock On!!,2008,5.31,0.315,0.0,0,Abhishek Kapoor,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
707,Roja,1992,5.33,0.316,0.0,0,Mani Ratnam,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
708,Rouge,1987,5.32,0.316,0.0,0,Stanley Kwan,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
709,Run Lola Run,1998,5.38,0.319,0.0,0,Tom Tykwer,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
710,Saaransh,1984,5.32,0.316,0.0,0,Mahesh Bhatt,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
711,Salaam Bombay!,1988,5.32,0.316,0.0,0,Mira Nair,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
712,Salt of This Sea,2008,5.31,0.315,0.0,0,Annemarie Jacir,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
713,Samad Becomes an Actor,1974,5.32,0.316,0.0,0,Parviz Sayyad,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
714,Samurai Rebellion,1967,5.33,0.316,0.0,0,Masaki Kobayashi,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
715,Sand Dollars,2014,6.03,0.352,0.0,0,"Israel Cárdenas, Laura Amelia Guzmán",-106.201,-7.369,-1.901,False,False,False,0,0,0,0
716,Sans Soleil,1983,5.32,0.316,0.0,0,Chris Marker,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
717,Sansho the Bailiff,1954,5.31,0.315,0.0,0,Kenji Mizoguchi,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
718,Santa Sangre,1989,5.32,0.316,0.0,0,Alejandro Jodorowsky,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
719,Sarfarosh,1999,5.38,0.319,0.0,0,John Mathew Matthan,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
720,Sattar khan,1973,5.33,0.316,0.0,0,Ali Hatami,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
721,Satya,1998,5.38,0.319,0.0,0,Ram Gopal Varma,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
722,Schultze Gets the Blues,2003,5.3,0.315,0.0,0,Michael Schorr,-106.201,-7.369,-2.631,False,False,False,0,0,0,0
723,Secret Sunshine,2007,5.28,0.314,0.0,0,Lee Chang-dong,-106.201,-7.369,-2.651,False,False,False,0,0,0,0
724,Seisaku's Wife,1965,5.33,0.316,0.0,0,Yasuzô Masumura,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
725,Sejnane,1974,8.21,0.66,8.5,110,Abdellatif Ben Ammar,3.799,1.131,0.279,True,False,True,0,0,0,0
726,Seoul Station,2016,5.99,0.35,0.0,0,Yeon Sang-ho,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
727,Serie Noire,1979,5.32,0.316,0.0,0,Alain Corneau,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
728,Seventeen Moments of Spring,1973,5.33,0.316,0.0,0,,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
729,Shabab emraa,1956,5.31,0.315,0.0,0,"Salah Abouseif, Amin Youssef Ghurab, Ahmed Al Sabaawi",-106.201,-7.369,-2.621,False,False,False,0,0,0,0
730,Shadows of Forgotten Ancestors,1965,5.33,0.316,0.0,0,Sergei Parajanov,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
731,Shahid,2012,5.99,0.35,0.0,0,Hansal Mehta,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
