Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Genres,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
61,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
62,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
63,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
64,Raiders of the Lost Ark,1981,7.946,0.615,8.4,115,"Action, Adventure",Steven Spielberg,8.799,1.031,0.015,True,False,True,0,0,0,0
65,Back to the Future,1985,7.886,0.614,8.5,116,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,9.799,1.131,-0.045,True,False,True,0,0,0,0
66,Aliens,1986,7.878,0.612,8.4,137,"Action, Adventure, Horror",James Cameron,30.799,1.031,-0.053,False,False,True,0,0,0,0
67,Gangs of Wasseypur,2012,7.91,0.61,8.2,321,"Action, Comedy, Crime",Anurag Kashyap,214.799,0.831,-0.021,False,True,True,0,0,0,0
68,Kill Bill: Vol. 1,2003,7.903,0.609,8.2,111,"Action, Crime, Thriller",Quentin Tarantino,4.799,0.831,-0.029,True,True,True,0,0,0,0
69,Die Hard,1988,7.889,0.608,8.2,132,"Action, Thriller",John McTiernan,25.799,0.831,-0.043,True,True,True,0,0,0,0
70,Skyfall,2012,8.044,0.608,7.8,143,"Action, Adventure, Thriller",Sam Mendes,36.799,0.431,0.113,False,True,True,0,0,0,0
71,Skyfall,2012,8.044,0.608,7.8,143,"Action, Adventure, Thriller",Sam Mendes,36.799,0.431,0.113,False,True,True,0,0,0,0
72,Skyfall,2012,8.044,0.608,7.8,143,"Action, Adventure, Thriller",Sam Mendes,36.799,0.431,0.113,False,True,True,0,0,0,0
73,Skyfall,2012,8.044,0.608,7.8,143,"Action, Adventure, Thriller",Sam Mendes,36.799,0.431,0.113,False,True,True,0,0,0,0
74,Sherlock Jr.,1924,7.858,0.607,8.2,45,"Action, Comedy, Romance",Buster Keaton,-61.201,0.831,-0.073,False,True,True,0,0,0,0
75,Spider-Man: Across the Spider-Verse,2023,7.735,0.607,8.5,140,"Animation, Action, Adventure","Joaquim Dos Santos, et al.",33.799,1.131,-0.197,False,False,True,0,0,0,0
76,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,17.799,0.731,-0.066,True,True,True,0,0,0,0
77,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,17.799,0.731,-0.066,True,True,True,0,0,0,0
78,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,17.799,0.731,-0.066,True,True,True,0,0,0,0
79,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,17.799,0.731,-0.066,True,True,True,0,0,0,0
80,The Exorcist,1973,7.861,0.605,8.1,122,Horror,William Friedkin,15.799,0.731,-0.07,True,True,True,0,0,0,0
81,Avengers: Infinity War,2018,7.739,0.605,8.4,149,"Action, Adventure, Sci-Fi",Anthony & Joe Russo,42.799,1.031,-0.192,False,False,True,0,0,0,0
82,Snatch,2000,7.787,0.603,8.2,102,"Comedy, Crime",Guy Ritchie,-4.201,0.831,-0.144,True,True,True,0,0,0,0
83,Avengers: Endgame,2019,7.692,0.603,8.4,181,"Action, Adventure, Sci-Fi",Anthony & Joe Russo,74.799,1.031,-0.24,False,False,True,0,0,0,0
84,"Lock, Stock and Two Smoking Barrels",1998,7.804,0.602,8.1,107,"Comedy, Crime",Guy Ritchie,0.799,0.731,-0.127,True,True,True,0,0,0,0
85,The Jungle Book,2016,8.111,0.602,7.3,106,"Animation, Action, Adventure",Jon Favreau,-0.201,-0.069,0.18,True,True,True,0,0,0,0
86,The Jungle Book,2016,8.111,0.602,7.3,106,"Animation, Action, Adventure",Jon Favreau,-0.201,-0.069,0.18,True,True,True,0,0,0,0
87,The Jungle Book,2016,8.111,0.602,7.3,106,"Animation, Action, Adventure",Jon Favreau,-0.201,-0.069,0.18,True,True,True,0,0,0,0
88,The Jungle Book,2016,8.111,0.602,7.3,106,"Animation, Action, Adventure",Jon Favreau,-0.201,-0.069,0.18,True,True,True,0,0,0,0
89,E.T. the Extra-Terrestrial,1982,7.863,0.601,7.9,115,"Adventure, Family, Sci-Fi",Steven Spielberg,8.799,0.531,-0.068,True,True,True,0,0,0,0
90,E.T. the Extra-Terrestrial,1982,7.863,0.601,7.9,115,"Adventure, Family, Sci-Fi",Steven Spielberg,8.799,0.531,-0.068,True,True,True,0,0,0,0
91,E.T. the Extra-Terrestrial,1982,7.863,0.601,7.9,115,"Adventure, Family, Sci-Fi",Steven Spielberg,8.799,0.531,-0.068,True,True,True,0,0,0,0
92,E.T. the Extra-Terrestrial,1982,7.863,0.601,7.9,115,"Adventure, Family, Sci-Fi",Steven Spielberg,8.799,0.531,-0.068,True,True,True,0,0,0,0
93,Aladdin,1992,7.809,0.6,8.0,90,"Animation, Adventure, Comedy","Ron Clements, John Musker",-16.201,0.631,-0.123,True,True,True,0,0,0,0
94,Aladdin,1992,7.809,0.6,8.0,90,"Animation, Adventure, Comedy","Ron Clements, John Musker",-16.201,0.631,-0.123,True,True,True,0,0,0,0
95,Aladdin,1992,7.809,0.6,8.0,90,"Animation, Adventure, Comedy","Ron Clements, John Musker",-16.201,0.631,-0.123,True,True,True,0,0,0,0
96,Aladdin,1992,7.809,0.6,8.0,90,"Animation, Adventure, Comedy","Ron Clements, John Musker",-16.201,0.631,-0.123,True,True,True,0,0,0,0
97,Spider-Man: No Way Home,2021,7.727,0.6,8.2,148,"Action, Adventure, Fantasy",Jon Watts,41.799,0.831,-0.205,False,True,True,0,0,0,0
98,Some Like It Hot,1959,7.719,0.6,8.2,121,"Comedy, Music, Romance",Billy Wilder,14.799,0.831,-0.213,True,True,False,0,0,0,0
99,Singin' in the Rain,1952,7.662,0.599,8.3,103,"Comedy, Musical, Romance",Stanley Donen & Gene Kelly,-3.201,0.931,-0.27,True,True,False,0,0,0,0
100,To Be or Not to Be,1942,7.635,0.594,8.1,99,"Comedy, Romance, War",Ernst Lubitsch,-7.201,0.731,-0.296,True,True,False,0,0,0,0
101,The General,1926,7.595,0.592,8.1,78,"Action, Adventure, Comedy",Buster Keaton,-28.201,0.731,-0.337,True,True,False,0,0,0,0
102,King Kong,2005,7.627,0.575,7.2,187,"Action, Adventure, Romance",Peter Jackson,80.799,-0.169,-0.305,False,True,False,0,0,0,0
103,King Kong,2005,7.627,0.575,7.2,187,"Action, Adventure, Romance",Peter Jackson,80.799,-0.169,-0.305,False,True,False,0,0,0,0
104,King Kong,2005,7.627,0.575,7.2,187,"Action, Adventure, Romance",Peter Jackson,80.799,-0.169,-0.305,False,True,False,0,0,0,0
105,King Kong,2005,7.627,0.575,7.2,187,"Action, Adventure, Romance",Peter Jackson,80.799,-0.169,-0.305,False,True,False,0,0,0,0
106,Tarzan,1999,7.522,0.572,7.3,88,"Animation, Adventure, Comedy","Chris Buck, Kevin Lima",-18.201,-0.069,-0.409,True,True,False,0,0,0,0
107,Tarzan,1999,7.522,0.572,7.3,88,"Animation, Adventure, Comedy","Chris Buck, Kevin Lima",-18.201,-0.069,-0.409,True,True,False,0,0,0,0
108,Tarzan,1999,7.522,0.572,7.3,88,"Animation, Adventure, Comedy","Chris Buck, Kevin Lima",-18.201,-0.069,-0.409,True,True,False,0,0,0,0
109,Tarzan,1999,7.522,0.572,7.3,88,"Animation, Adventure, Comedy","Chris Buck, Kevin Lima",-18.201,-0.069,-0.409,True,True,False,0,0,0,0
110,Spectre,2015,7.7,0.561,6.8,148,"Action, Adventure, Thriller",Sam Mendes,41.799,-0.569,-0.232,False,True,False,0,0,0,0
111,Spectre,2015,7.7,0.561,6.8,148,"Action, Adventure, Thriller",Sam Mendes,41.799,-0.569,-0.232,False,True,False,0,0,0,0
112,Spectre,2015,7.7,0.561,6.8,148,"Action, Adventure, Thriller",Sam Mendes,41.799,-0.569,-0.232,False,True,False,0,0,0,0
113,Spectre,2015,7.7,0.561,6.8,148,"Action, Adventure, Thriller",Sam Mendes,41.799,-0.569,-0.232,False,True,False,0,0,0,0
114,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,16.799,-1.469,-1.073,True,False,False,0,0,0,0
115,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,16.799,-1.469,-1.073,True,False,False,0,0,0,0
116,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,16.799,-1.469,-1.073,True,False,False,0,0,0,0
117,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,16.799,-1.469,-1.073,True,False,False,0,0,0,0
118,One Battle After Another,2025,6.64,0.412,0.0,161,"Action, Crime, Drama",Paul Thomas Anderson,54.799,-7.369,-1.291,False,False,False,0,0,0,0
119,Dr. Strangelove,2012,5.459,0.323,0.0,0,"Short, Comedy, Crime",Stanley Kubrick,-106.201,-7.369,-2.473,False,False,False,0,0,0,0
120,Demon Slayer -Kimetsu no Yaiba- The Movie: Infinity Castle,2025,7.9,,8.7,155,"Animation, Action, Adventure",,48.799,1.331,-0.032,False,False,False,0,0,0,0
121,It's a Yubby Nubby Ewok Murder Party: A Live Staged Reading of Star Wars - Return of the Jedi,2025,8.11,,0.0,151,Comedy,,44.799,-7.369,0.179,False,False,False,0,0,1,0
