Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
61,tt11243536,2025-10-11,2025-10-11,,"Holiday Secrets","Zeit der Geheimnisse",https://www.imdb.com/title/tt11243536/,TV Mini Series,6.5,,2019,"Drama",1371,2019-11-20,,,
62,tt15893460,2025-10-11,2025-10-11,,"Carolin Kebekus: The Last Christmas Special","Carolin Kebekus: The Last Christmas Special",https://www.imdb.com/title/tt15893460/,TV Special,4.8,66,2021,"Comedy",116,2021-12-08,,,
63,tt21933110,2025-10-11,2025-10-11,,"Old People","Old People",https://www.imdb.com/title/tt21933110/,Movie,5.1,101,2022,"Horror",7631,2022-10-07,"Andy Fetscher",,
64,tt15036416,2025-10-11,2025-10-11,,"Shiny_Flakes: The Teenage Drug Lord","Shiny_Flakes: The Teenage Drug Lord",https://www.imdb.com/title/tt15036416/,Movie,7.3,96,2021,"Documentary, Biography, Crime",6284,2021-08-03,"Eva Müller, Michael Schmitt",,
65,tt10738536,2025-10-11,2025-10-11,,"Delicious","Délicieux",https://www.imdb.com/title/tt10738536/,Movie,7.0,112,2021,"Comedy, Drama, History",6869,2021-09-08,"Éric Besnard",,
66,tt4766630,2025-10-11,2025-10-11,,"The Awakening of Motti Wolkenbruch","Wolkenbruchs wunderliche Reise in die Arme einer Schickse",https://www.imdb.com/title/tt4766630/,Movie,6.6,94,2018,"Comedy, Drama",5188,2019-10-25,"Michael Steiner",,
67,tt10556130,2025-10-11,2025-10-11,,"Berlin, Berlin","Berlin, Berlin",https://www.imdb.com/title/tt10556130/,Movie,3.9,80,2020,"Comedy, Drama, Romance",623,2020-05-08,"Franziska Meyer Price",,
68,tt9184970,2025-10-11,2025-10-11,,"Skylines","Skylines",https://www.imdb.com/title/tt9184970/,TV Series,7.5,56,2019,"Crime, Drama, Music",3178,2019-09-27,,,
69,tt19352286,2025-10-11,2025-10-11,,"Rumspringa","Rumspringa",https://www.imdb.com/title/tt19352286/,Movie,5.4,101,2022,"Comedy",1265,2022-04-29,"Mira Thiel",,
70,tt27054614,2025-10-11,2025-10-11,,"Crooks","Crooks",https://www.imdb.com/title/tt27054614/,TV Series,7.0,60,2024,"Action, Crime, Drama, Thriller",4312,2024-04-04,,,
71,tt11460744,2025-10-11,2025-10-11,,"Nailed It! Germany","Wer Kann, Der Kann! Deutschland",https://www.imdb.com/title/tt11460744/,TV Series,5.7,,2020,"Reality-TV",120,2020-01-17,,,
72,tt8328418,2025-10-11,2025-10-11,,"Enissa Amani: Ehrenwort","Enissa Amani: Ehrenwort",https://www.imdb.com/title/tt8328418/,TV Special,5.6,60,2018,"Comedy",208,2018-04-26,"Max Amini",,
73,tt15771888,2025-10-11,2025-10-11,,"Dig Deeper - Das Verschwinden von Birgit Meier","Dig Deeper - Das Verschwinden von Birgit Meier",https://www.imdb.com/title/tt15771888/,TV Mini Series,7.2,60,2021,"Documentary, Crime",2816,2021-11-26,,,
74,tt21195548,2025-10-11,2025-10-11,,"Buba","Buba",https://www.imdb.com/title/tt21195548/,Movie,5.9,94,2022,"Comedy, Crime, Drama",3245,2022-08-03,"Arne Feldhusen",,
75,tt20420316,2025-10-11,2025-10-11,,"Gladbeck: The Hostage Crisis","Gladbeck: The Hostage Crisis",https://www.imdb.com/title/tt20420316/,Movie,7.5,91,2022,"Documentary, Crime",3268,2022-06-08,"Volker Heise",,
76,tt12939836,2025-10-11,2025-10-11,,"A Perfect Crime","A Perfect Crime",https://www.imdb.com/title/tt12939836/,TV Mini Series,7.3,40,2020,"Documentary, Crime",1781,2020-09-25,,,
77,tt28288477,2025-10-11,2025-10-11,,"The Heartbreak Agency","Die Liebeskümmerer",https://www.imdb.com/title/tt28288477/,Movie,5.3,94,2024,"Comedy, Romance",767,2024-02-14,"Shirel Peleg",,
78,tt14019016,2025-10-11,2025-10-11,,"The Houseboat","Das Hausboot",https://www.imdb.com/title/tt14019016/,TV Series,7.1,,2021,"Documentary",1334,2021-03-09,,,
79,tt13262150,2025-10-11,2025-10-11,,"Felix Lobrecht: Hype","Felix Lobrecht: Hype",https://www.imdb.com/title/tt13262150/,TV Special,5.9,59,2020,"Comedy",362,2020-11-03,"Jan-Peter Horns",,
80,tt13400146,2025-10-11,2025-10-11,,"Hazel Brugger: Tropical","Hazel Brugger: Tropical",https://www.imdb.com/title/tt13400146/,TV Special,6.4,58,2020,"Comedy",468,2020-12-02,"J. Patrick Arbeiter",,
81,tt12416844,2025-10-11,2025-10-11,,"Frank Elstner: Just One Last Question","Wetten, dass war's..?",https://www.imdb.com/title/tt12416844/,TV Series,7.3,,2019,"Talk-Show",99,2019-04-24,,,
82,tt13446424,2025-10-11,2025-10-11,,"Christmas Crossfire","Wir können nicht anders",https://www.imdb.com/title/tt13446424/,Movie,4.8,106,2020,"Comedy, Crime, Thriller",1719,2020-12-04,"Detlev Buck",,
83,tt11951234,2025-10-11,2025-10-11,,"Over Christmas","ÜberWeihnachten",https://www.imdb.com/title/tt11951234/,TV Mini Series,6.7,48,2020,"Comedy, Drama, Romance",2537,2020-11-27,,,
84,tt14078222,2025-10-11,2025-10-11,,"RebellComedy: Straight Outta the Zoo","RebellComedy: Raus Aus'm Zoo",https://www.imdb.com/title/tt14078222/,TV Special,4.4,74,2021,"Comedy",50,2021-03-16,"Ladislaus Kiraly",,
85,tt26450458,2025-10-11,2025-10-11,,"Big Mäck - Gangster und Gold","Big Mäck - Gangster und Gold",https://www.imdb.com/title/tt26450458/,TV Movie,6.1,90,2023,"Documentary",545,2023-03-30,"Fabienne Hurst, Andreas Spinrath, Facundo Scalerandi",,
86,tt15663868,2025-10-11,2025-10-11,,"Your Life Is a Joke","Your Life Is a Joke",https://www.imdb.com/title/tt15663868/,TV Series,5.4,,2021,"Documentary, Comedy",104,2021-11-09,,,
