Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
77,tt2362062,2025-06-11,2025-06-11,,"Parviz","Parviz",https://www.imdb.com/title/tt2362062/,Movie,7.1,107,2012,"Crime, Drama, Thriller",1080,2013-09-28,"Majid Barzegar",,
78,tt1804642,2025-06-11,2025-06-11,,"Gold and Copper","Tala va mes",https://www.imdb.com/title/tt1804642/,Movie,7.1,97,2010,"Drama, Romance",3997,2010-05-12,"Homayoon Ass'adian",,
79,tt0106330,2025-06-11,2025-06-11,,"From Karkheh to Rhein","Az Karkheh ta Rhein",https://www.imdb.com/title/tt0106330/,Movie,7.1,94,1993,"Drama, War",3116,1993,"Ebrahim Hatamikia",,
80,tt6207878,2025-06-11,2025-06-11,,"No Date, No Signature","Bedoone Tarikh, Bedoone Emza",https://www.imdb.com/title/tt6207878/,Movie,7.2,99,2017,"Drama, Mystery, Thriller",7319,2018-08-01,"Vahid Jalilvand",,
81,tt0405149,2025-06-11,2025-06-11,,"Mom's Guest","Mehman-e maman",https://www.imdb.com/title/tt0405149/,Movie,7.2,103,2004,"Comedy, Drama",4992,2004-07-22,"Dariush Mehrjui",,
82,tt1683042,2025-06-11,2025-06-11,,"There Are Things You Don't Know","Chizhayi Hast Ke Nemidani",https://www.imdb.com/title/tt1683042/,Movie,7.1,92,2010,"Drama",1563,2010-11-06,"Fardin Saheb-Zamani",,
83,tt0092651,2025-06-11,2025-06-11,,"The Cyclist","Bicycleran",https://www.imdb.com/title/tt0092651/,Movie,7.2,82,1989,"Drama",2481,1998-09-09,"Mohsen Makhmalbaf",,
84,tt0254769,2025-06-11,2025-06-11,,"City of Mice","Shahr-e mooshha",https://www.imdb.com/title/tt0254769/,Movie,7.3,92,1986,"Adventure, Comedy, Family, Fantasy, Musical",1768,1986,"Marzieh Boroomand, Mohammad Ali Talebi",,
85,tt0499537,2025-06-11,2025-06-11,,"Offside","Afsaid",https://www.imdb.com/title/tt0499537/,Movie,7.3,93,2006,"Comedy, Drama, Sport",9014,2006-05-26,"Jafar Panahi",,
86,tt0423868,2025-06-11,2025-06-11,,"Bitter Dream","Khab-e talkh",https://www.imdb.com/title/tt0423868/,Movie,7.3,88,2004,"Comedy, Drama",456,2015-11-23,"Mohsen Amiryoussefi",,
87,tt0193373,2025-06-11,2025-06-11,,"The Last Act","Pardehe Akhar",https://www.imdb.com/title/tt0193373/,Movie,7.4,110,1991,"Crime, Drama, Mystery, Thriller",562,1991-08-14,"Varuzh Karim-Masihi",,
88,tt0070938,2025-06-11,2025-06-11,,"Yek Etefagh sadeh","Yek Etefagh sadeh",https://www.imdb.com/title/tt0070938/,Movie,7.4,80,1973,"Drama",745,1975-04-07,"Sohrab Shahid Saless",,
89,tt0260332,2025-06-11,2025-06-11,,"The Day I Became a Woman","Roozi ke zan shodam",https://www.imdb.com/title/tt0260332/,Movie,7.3,74,2000,"Comedy, Drama",2099,2001-03-08,"Marzieh Makhmalbaf",,
90,tt2161980,2025-06-11,2025-06-11,,"The Last Step","Pelle akhar",https://www.imdb.com/title/tt2161980/,Movie,7.2,88,2012,"Drama",1567,2013-02-11,"Ali Mosaffa",,
91,tt3257072,2025-06-11,2025-06-11,,"Fish & Cat","Mahi va gorbeh",https://www.imdb.com/title/tt3257072/,Movie,7.0,134,2013,"Drama, Horror, Mystery",3079,2014-10-03,"Shahram Mokri",,
92,tt4359416,2025-06-11,2025-06-11,,"Taxi","Taxi",https://www.imdb.com/title/tt4359416/,Movie,7.3,82,2015,"Comedy, Drama",17430,2015-04-15,"Jafar Panahi",,
93,tt4955970,2025-06-11,2025-06-11,,"Once Upon a Time in Tehran","Tehran Rozegar-e No",https://www.imdb.com/title/tt4955970/,Movie,7.4,90,1999,"Crime, Mystery, Thriller",186,,"Ali Hatami",,
94,tt1094627,2025-06-11,2025-06-11,,"Buddha Collapsed Out of Shame","Buda as sharm foru rikht",https://www.imdb.com/title/tt1094627/,Movie,7.3,81,2007,"Drama, War",2437,2008-02-20,"Hana Makhmalbaf",,
95,tt3839906,2025-06-11,2025-06-11,,"Track 143","Shiar-e 143",https://www.imdb.com/title/tt3839906/,Movie,7.0,94,2014,"Drama, War",2277,2014-11-12,"Narges Abyar",,
96,tt0114312,2025-06-11,2025-06-11,,"The Fateful Day","Rooze Vaghee",https://www.imdb.com/title/tt0114312/,Movie,7.3,105,1995,"Adventure, Drama, Fantasy, History",763,1995,"Shahram Assadi",,
97,tt6776462,2025-06-11,2025-06-11,,"A Man of Integrity","Lerd",https://www.imdb.com/title/tt6776462/,Movie,7.2,113,2017,"Drama",3055,2017-12-06,"Mohammad Rasoulof",,
98,tt0096092,2025-06-11,2025-06-11,,"Maybe Some Other Time","Shayad Vaghti Deegar",https://www.imdb.com/title/tt0096092/,Movie,7.1,159,1988,"Drama, Mystery, Thriller",801,1988-02-01,"Bahram Beyzaie",,
99,tt0847050,2025-06-11,2025-06-11,,"Half Moon","Niwemang",https://www.imdb.com/title/tt0847050/,Movie,7.2,107,2006,"Comedy, Drama, Music",3277,2007-12-14,"Bahman Ghobadi",,
100,tt0066968,2025-06-11,2025-06-11,,"Dash Akol","Dash Akol",https://www.imdb.com/title/tt0066968/,Movie,7.1,99,1971,"Drama, Romance, Thriller",1464,1971-08-25,"Masud Kimiai",,
101,tt4108894,2025-06-11,2025-06-11,,"What's the Time in Your World?","Dar donya ye to saat chand ast?",https://www.imdb.com/title/tt4108894/,Movie,7.1,101,2014,"Drama, Romance",2878,2015-05-13,"Safi Yazdanian",,
102,tt1303685,2025-06-11,2025-06-11,,"As Simple as That","Be hamin sadegi",https://www.imdb.com/title/tt1303685/,Movie,7.0,93,2008,"Drama",1578,2008-03-20,"Reza Mirkarimi",,
103,tt0329347,2025-06-11,2025-06-11,,"I'm Taraneh, 15","Man, Taraneh, panzdah sal daram",https://www.imdb.com/title/tt0329347/,Movie,7.1,110,2002,"Drama",4032,2002-03-28,"Rasoul Sadrameli",,
104,tt0220363,2025-06-11,2025-06-11,,"The Red Ribbon","Rooban-e ghermez",https://www.imdb.com/title/tt0220363/,Movie,7.0,110,1999,"Drama, War",1230,1999-10-15,"Ebrahim Hatamikia",,
105,tt1846445,2025-06-11,2025-06-11,,"A Cube of Sugar","Ye habe ghand",https://www.imdb.com/title/tt1846445/,Movie,7.1,116,2011,"Comedy, Drama, Family",4472,2011-10-12,"Reza Mirkarimi",,
106,tt0472113,2025-06-11,2025-06-11,,"Iron Island","Jazireh ahani",https://www.imdb.com/title/tt0472113/,Movie,7.1,90,2005,"Drama",1130,2005-10-05,"Mohammad Rasoulof",,
