Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
11,tt0100112,2025-06-11,2025-06-11,,"The Hairdresser's Husband","Le mari de la coiffeuse",https://www.imdb.com/title/tt0100112/,Movie,7.1,82,1990,"Comedy, Drama, Romance",10892,1990-10-03,"Patrice Leconte",,
12,tt0091288,2025-06-11,2025-06-11,,"Jean de Florette","Jean de Florette",https://www.imdb.com/title/tt0091288/,Movie,8.1,120,1986,"Drama",28805,1987-08-28,"Claude Berri",,
13,tt0055032,2025-06-11,2025-06-11,,"Jules and Jim","Jules et Jim",https://www.imdb.com/title/tt0055032/,Movie,7.6,105,1962,"Drama, Romance",46286,1962-01-23,"François Truffaut",9,2025-09-14
14,tt0450188,2025-06-11,2025-06-11,,"La Vie En Rose","La Môme",https://www.imdb.com/title/tt0450188/,Movie,7.5,140,2007,"Biography, Drama, Music, Romance",93055,2007-07-20,"Olivier Dahan",10,2025-07-20
15,tt0101428,2025-06-11,2025-06-11,,"La belle noiseuse","La belle noiseuse",https://www.imdb.com/title/tt0101428/,Movie,7.5,238,1991,"Drama",10225,1991-09-04,"Jacques Rivette",,
16,tt0064106,2025-06-11,2025-06-11,,"The Butcher","Le boucher",https://www.imdb.com/title/tt0064106/,Movie,7.3,93,1970,"Drama, Mystery, Thriller",9934,1971-12-19,"Claude Chabrol",,
17,tt0301414,2025-06-11,2025-06-11,,"Man on the Train","L'homme du train",https://www.imdb.com/title/tt0301414/,Movie,7.1,90,2002,"Crime, Drama, Thriller",7744,2002-10-02,"Patrice Leconte",,
18,tt0091480,2025-06-11,2025-06-11,,"Manon of the Spring","Manon des sources",https://www.imdb.com/title/tt0091480/,Movie,8.0,113,1986,"Drama",25215,1987-12-04,"Claude Berri",,
19,tt0046487,2025-06-11,2025-06-11,,"Monsieur Hulot's Holiday","Les vacances de Monsieur Hulot",https://www.imdb.com/title/tt0046487/,Movie,7.3,83,1953,"Comedy",21498,1954-06-16,"Jacques Tati",,
20,tt0099669,2025-06-11,2025-06-11,,"My Father's Glory","La gloire de mon père",https://www.imdb.com/title/tt0099669/,Movie,7.6,105,1990,"Adventure, Biography, Comedy, Drama, Family",7451,1991-08,"Yves Robert",,
21,tt0099266,2025-06-11,2025-06-11,,"My Mother's Castle","Le château de ma mère",https://www.imdb.com/title/tt0099266/,Movie,7.6,98,1990,"Adventure, Biography, Comedy, Drama, Family, Romance",6016,1991-09,"Yves Robert",,
22,tt0114266,2025-06-11,2025-06-11,,"Rendez-vous in Paris","Les rendez-vous de Paris",https://www.imdb.com/title/tt0114266/,Movie,7.2,98,1995,"Comedy, Romance",2682,1996-06-28,"Éric Rohmer",,
23,tt0031885,2025-06-11,2025-06-11,,"The Rules of the Game","La règle du jeu",https://www.imdb.com/title/tt0031885/,Movie,7.9,110,1939,"Comedy, Drama",32868,1950-04-08,"Jean Renoir",7,2025-09-04
24,tt0088318,2025-06-11,2025-06-11,,"A Sunday in the Country","Un dimanche à la campagne",https://www.imdb.com/title/tt0088318/,Movie,7.4,90,1984,"Drama",3419,1984-04-11,"Bertrand Tavernier",,
25,tt0111495,2025-06-11,2025-06-11,,"Three Colors: Red","Trois couleurs : Rouge",https://www.imdb.com/title/tt0111495/,Movie,8.1,99,1994,"Drama, Mystery, Romance",115026,1994-11-23,"Krzysztof Kieslowski",8,2024-11-11
26,tt0108394,2025-06-11,2025-06-11,,"Three Colors: Blue","Trois couleurs: Bleu",https://www.imdb.com/title/tt0108394/,Movie,7.8,98,1993,"Drama, Music, Mystery, Romance",116673,1993-09-08,"Krzysztof Kieslowski",,
27,tt0111507,2025-06-11,2025-06-11,,"Three Colors: White","Trois couleurs : Blanc",https://www.imdb.com/title/tt0111507/,Movie,7.6,92,1994,"Comedy, Drama, Romance",83999,1994-06-10,"Krzysztof Kieslowski",,
28,tt0037674,2025-06-11,2025-06-11,,"Children of Paradise","Les enfants du paradis",https://www.imdb.com/title/tt0037674/,Movie,8.3,189,1945,"Drama, Romance",22113,1946-11-15,"Marcel Carné",8,2024-12-02
29,tt0211915,2025-06-11,2025-06-11,,"Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915/,Movie,8.3,122,2001,"Comedy, Romance",826661,2002-02-08,"Jean-Pierre Jeunet",9,2020-07-13
30,tt1675434,2025-06-11,2025-06-11,,"The Intouchables","Intouchables",https://www.imdb.com/title/tt1675434/,Movie,8.5,112,2011,"Comedy, Drama",996034,2011-11-02,"Olivier Nakache, Éric Toledano",7,2020-08-21
31,tt0062136,2025-06-11,2025-06-11,,"Playtime","Playtime",https://www.imdb.com/title/tt0062136/,Movie,7.8,155,1967,"Comedy",28427,1973-06-27,"Jacques Tati",,
32,tt0057345,2025-06-11,2025-06-11,,"Contempt","Le mépris",https://www.imdb.com/title/tt0057345/,Movie,7.4,102,1963,"Drama, Romance",37905,1964-12-18,"Jean-Luc Godard",,
33,tt1655442,2025-06-11,2025-06-11,,"The Artist","The Artist",https://www.imdb.com/title/tt1655442/,Movie,7.8,100,2011,"Comedy, Drama, Romance",253520,2012-01-20,"Michel Hazanavicius",8,2025-04-02
34,tt0024844,2025-06-11,2025-06-11,,"L'Atalante","L'Atalante",https://www.imdb.com/title/tt0024844/,Movie,7.7,89,1934,"Drama, Romance",18328,1947-06-21,"Jean Vigo",,
35,tt2278871,2025-06-11,2025-06-11,,"Blue Is the Warmest Colour","La vie d'Adèle",https://www.imdb.com/title/tt2278871/,Movie,7.6,180,2013,"Drama, Romance",170807,2013-10-09,"Abdellatif Kechiche",8,2021-12-21
36,tt0053198,2025-06-11,2025-06-11,,"The 400 Blows","Les quatre cents coups",https://www.imdb.com/title/tt0053198/,Movie,8.0,99,1959,"Crime, Drama",132543,1959-11-16,"François Truffaut",10,2020-08-18
37,tt0038348,2025-06-11,2025-06-11,,"Beauty and the Beast","La Belle et la Bête",https://www.imdb.com/title/tt0038348/,Movie,7.9,93,1946,"Drama, Fantasy, Romance",29400,1947-12-23,"Jean Cocteau, René Clément",7,2020-11-06
38,tt0064040,2025-06-11,2025-06-11,,"Army of Shadows","L'armée des ombres",https://www.imdb.com/title/tt0064040/,Movie,8.1,145,1969,"Drama, War",28250,1970-06-19,"Jean-Pierre Melville",,
39,tt0070460,2025-06-11,2025-06-11,,"Day for Night","La nuit américaine",https://www.imdb.com/title/tt0070460/,Movie,8.0,116,1973,"Comedy, Drama, Romance",25885,1973-09-07,"François Truffaut",8,2025-08-16
40,tt0062873,2025-06-11,2025-06-11,,"The Young Girls of Rochefort","Les demoiselles de Rochefort",https://www.imdb.com/title/tt0062873/,Movie,7.7,125,1967,"Comedy, Drama, Musical, Romance",13265,1968-04-11,"Jacques Demy",,
41,tt0046268,2025-06-11,2025-06-11,,"The Wages of Fear","Le salaire de la peur",https://www.imdb.com/title/tt0046268/,Movie,8.1,156,1953,"Adventure, Drama, Thriller",71851,1955-02-16,"Henri-Georges Clouzot",,
42,tt0050706,2025-06-11,2025-06-11,,"My Uncle","Mon oncle",https://www.imdb.com/title/tt0050706/,Movie,7.6,116,1958,"Comedy",25586,1958-11-03,"Jacques Tati",,
43,tt0372824,2025-06-11,2025-06-11,,"The Chorus","Les choristes",https://www.imdb.com/title/tt0372824/,Movie,7.8,97,2004,"Drama, Music",70382,2004-03-17,"Christophe Barratier",,
44,tt0055032,2025-06-11,2025-06-11,,"Jules and Jim","Jules et Jim",https://www.imdb.com/title/tt0055032/,Movie,7.6,105,1962,"Drama, Romance",46286,1962-01-23,"François Truffaut",9,2025-09-14
45,tt1602620,2025-06-11,2025-06-11,,"Amour","Amour",https://www.imdb.com/title/tt1602620/,Movie,7.9,127,2012,"Drama",109214,2012-09-20,"Michael Haneke",9,2025-03-07
46,tt0060138,2025-06-11,2025-06-11,,"Au hasard Balthazar","Au hasard Balthazar",https://www.imdb.com/title/tt0060138/,Movie,7.7,95,1966,"Drama",24354,1966-05-25,"Robert Bresson",,
47,tt0103190,2025-06-11,2025-06-11,,"Van Gogh","Van Gogh",https://www.imdb.com/title/tt0103190/,Movie,7.1,158,1991,"Biography, Drama, Romance",3494,1992-10-30,"Maurice Pialat",,
48,tt0078913,2025-06-11,2025-06-11,,"Buffet Froid","Buffet froid",https://www.imdb.com/title/tt0078913/,Movie,7.2,93,1979,"Comedy, Crime, Drama, Thriller",7044,1979-12-19,"Bertrand Blier",,
49,tt0054632,2025-06-11,2025-06-11,,"Last Year at Marienbad","L'année dernière à Marienbad",https://www.imdb.com/title/tt0054632/,Movie,7.6,94,1961,"Drama, Mystery, Romance",26419,1962-03-07,"Alain Resnais",8,2025-09-14
